,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9930529210925645,0.9947837632776935,0.9933690566514921,0.9274943095599393
Precision_0,0.986266804197533,0.9889787361485475,0.9852861128121385,0.9267997240449871
Recall_0,0.9892267177400048,0.9882092410821164,0.9905092513423852,0.9878330312254181
F1_0,0.9877445435258663,0.9885938388767476,0.9878907782306892,0.9563435893615436
Precision_1,0.8743700503959683,0.8697345132743363,0.8923933209647495,0.4873853211009174
Recall_1,0.8583038869257951,0.8681978798586573,0.8498233215547704,0.1501766784452297
F1_1,0.8662624821683309,0.8689655172413793,0.8705882352941177,0.2296056185845489
Precision_2,0.893646408839779,0.8752556237218814,0.8971592952175477,0.45867768595041325
Recall_2,0.8603723404255319,0.8537234042553191,0.8294547872340425,0.14760638297872342
F1_2,0.8766937669376694,0.864355435880175,0.8619796165140784,0.22334004024144868
Precision_3,0.8577524893314367,0.8557246856386499,0.856883399927352,0.4596456692913386
Recall_3,0.8294360385144429,0.8892709766162311,0.8112104539202201,0.16059147180192573
F1_3,0.8433566433566434,0.8721753794266441,0.8334216569510687,0.23802242609582058
Precision_4,0.867055994503607,0.8763897972531066,0.8913418420144877,0.40756302521008403
Recall_4,0.8407728181212525,0.8927381745502998,0.8607594936708861,0.16155896069287143
F1_4,0.8537121596482327,0.8844884488448845,0.8757837654634808,0.23139312977099236
Avg_F1,0.8855539191273486,0.8957157240539662,0.8859328104906868,0.3757409608108708
